,video_id,comments
0,6lw4Cbk1IzA,"[""Blackpink, can you have a concert in Lebanon? I know a strange market, but we can't travel pls😭😭"", '🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺😭😭😭😭😭😭😭😭😭😭', 'I love BLACKPINK ❤️', 'Lisa preti❤❤❤❤❤❤', '❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤😚😚😚😚😚😚😚😚😚😚😚😚💝💝💝💝💝💝💝💝💝💝💝💝💎💎💎💎💎💎💎💎💎💎💎💎💎💎💎💞💞💞💞💞💞💞💞💞💞💞💞\n\n\nI love you BLACKPİNK \n\nI love you  Lisa\n\n\nI love you Rose\n\n\n\nI love you Jennie \n\n\n\nI love you jisoo\n❤\n❤\n❤\n❤      💗🖤💗🖤💗🖤🖤💗💗🖤💗🖤🖤💗🖤💗🖤💗🖤💗🖤💗🖤💗🖤💗🖤💗🖤💗🖤🖤💗🖤💗🖤💗🖤💗🖤💗🖤💗🖤💗🖤💗🖤🖤💗💗🖤🖤💗🖤💗💗🖤💗🖤🖤💗🖤💗🖤💗🖤💗🖤💗🖤💗🖤💗🖤💗💗🖤🖤💗💗🖤💗🖤🖤💗🖤💗🖤💗💗🖤🖤💗🖤💗💗🖤🖤💗🖤💗🖤💗🖤💗🖤💗💗🖤💗🖤🖤💗💗🖤🖤💗🖤🖤💗🖤💗🖤💗🖤💗🖤💗🖤💗🖤💗💗🖤🖤💗💗🖤💗🖤💗🖤🖤💗🖤💗🖤💗🖤💗💗🖤🖤💗🖤💗', 'I love you BLACKPİNK', '블랙핑크 찐 팬인데\n콘서트 가 보고 싶은데\n시간도 없고 날짜도 모르겠다😢😢😢😢😢😢', ""Blackpink please don't disband I love you 🖤💗😘😍"", 'I Love You 💕', ""Blackpink I'm going to miss you ❤😢❤😢❤😢❤😢❤😢❤😢❤😢""]"
1,Yl_rmlS4u9s,"['Lisa best dancer the beatiful', 'Blackpink favorites❤', 'BLACKPINK', 'why you hate Rose', '어떻게든 계약을 연장하는 것이 가능해요', ""I'm so proud to be a BLINK 🖤💓 You guys put so many efforts and did this amazing world tour ❤ I love you blackpink 🖤💓 I don't have any words to explain how much I love you 🥺 BLACKPINK and BLINKS forever 😘\n\n04/11/2023"", ""blackpink receive'\\,,./"", 'Me\U0001fa76\U0001fa77', '🖤❤️👑', '😆😆😆😆']"
2,q9lQG1shW6o,"['JENNIE - ‘You & Me’ DANCE PERFORMANCE VIDEO\nhttps://youtu.be/eQNHDV7lKgE', ""Please don't leave in 2027, we love you very much, stay together... 😢😢😢😢"", 'My loveee', 'Jennie❤❤❤', ""She's so cute 🥺❤"", '773k', '제니 너무 예뻐요!!!!🎉🎉🎉🥰🥰😊😊🥰😍😍😘😘😘😘😘😘😗😗😚😚😚😚😚☺😙😙😙🤗🤗🤗🤗🤗', 'I love you jenny!!!🎉🎉🎉😘😘😘😘🥰🥰🥰😍😍😊😊😁😚😚😙🤗🤗🤗', 'black pink we love you so muchhhhhhhhhh❤🎉', 'Hello Jennie']"
3,OCxrWKk-Jbw,"['KISS ME JENNIE', 'I love you Jennie the song was very beautiful 🖤💗', 'Ok jennie', '😘', '😂🤢🤢🤢🤢', ""Jennie's voice is cute and amazing❤ i love you Jennie!!!"", 'Jennie 🤩😍', '💫Amazing Jennie🌙', '❤❤❤', '❤❤❤']"
4,ZgLlabyz7oY,"['JENNIE - ‘You & Me’ DANCE PERFORMANCE VIDEO\nhttps://youtu.be/eQNHDV7lKgE', 'JENNIE>K-pop', 'Jennie I love you so much', 'Jennie', '607k', 'iloveyou jennie 😍🎉🎉🎉', '6K', 'Love jennie 😗😗', '❤❤❤❤❤❤🎉🎉🎉🎉🎉🎉💓💓💓💓💓💓💓', 'Queen Jennie']"
5,fLfPgF92c-g,"['❤❤❤❤❤', 'blenkpink. jennie. lise. rose. jisoo', 'I love her so much ❤', 'I LOVE OUTFIT HER BLACK ❤', 'jennie so cute❤❤❤❤', '😮wow', 'يمه فدوه نينيتيي', 'I love you jennieeee ❤❤❤❤❤ your my Princess ❤❤❤❤❤', 'J ❤ çok seviyorum', '❤']"
6,ZSc-zcWl2g8,"['JENNIE - ‘You & Me’ DANCE PERFORMANCE VIDEO\nhttps://youtu.be/eQNHDV7lKgE', 'Jennie es una muñequita❤ siempre orare por ti !! Te deseo lo mejor siempre', 'Solooooooooo', 'ily jennie', '1:40 best one', 'Thank you soo mach sao chị có thể có thể chuyển đồ nhanh thế ạ 😮', 'I Love Jennie❤❤❤', '❤❤', 'I love Jennie ❤❤🎉🎉', 'PLZ STREAM JENNIE SOLO TO REACH 1B!']"
7,jFJzCODStOQ,"['Jennie queen ❤❤❤👑👑👑', '😊😊😊😊😊', 'How you make this type of shorts please tell us', 'Please can you do next convert in india ❤❤🥺🥺😭😭😞🫰🏻 because my fav black pink member is you and also jennie and my birthday is on 16 january❤❤❤ plz plz plz plz love from india ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤', '❤❤', '어떤 창의성도 Blink의 창의성을 능가할 수 없습니다.🎉', 'Ưidsjsgikfe ❤🎉', 'I love your dance and songs ı love you jennie ı m from turkey and ı love south korea (ı love jennie and me❤)', 'Omg jennie you are a godnesse so cooooool ❤', 'The love']"
8,TIbItS4-4bQ,"['ı love youu BLACK PINKKKKKKKKKKK ILOVE YOU JENNIE ILOVE YOU LISA ILOVE YOU  ROSE ILOVEYOU  JISOO', ""Blackpink is the revolution 🖤💓 I appreciate that most of the blinks went to blackpink's concert and had so much precious  unforgettable memories together ❤❤ I'm not lucky to meet them 😭😭 I hope one day I can meet them and tear in happiness 🥺 Love you blackpink 🖤💓\n\n04/11/2023"", 'Black pink is always the 👑👑👑👑 QUEEN', '블랙핑크 사랑해', '✋🏻', 'JENCHULICHAENG', '💔', ',nxdkoiewq🍷💖', 'Blackpink please km to india please Ripley me', '1) Rose ❤\n2) Lisa ❤\n3) Jiso ❤\n4) Jennie ❤']"
9,CpbJO2Z6DA4,"['JENNIE - ‘You & Me’ DANCE PERFORMANCE VIDEO\nhttps://youtu.be/eQNHDV7lKgE', '더 발전된 모습을 여전히 보여주는 게 신기함. 앞으로가 더 기대되는 가수!', '2:20', 'Slipknot🔥🔥🔥', '923k', '멋진 목소리', '제니 목소리가 이렇게 완벽한 게 정상인가요?', '😊❤❤❤❤', '906', 'This song my love❤️']"
10,3yILnlnIqyU,"['JENNIE - ‘You & Me’ DANCE PERFORMANCE VIDEO\nhttps://youtu.be/eQNHDV7lKgE', 'This song is so addictive 😭😭😭😭😭😭', '🥵🥵🥵🥵', 'Iconic❤', '... CUTE!!', 'I love the new version better', '170k', 'Bu versiyonu orjinalinden daha güzel', 'THIS SONG IS COOL', 'يجنن احبك جيني 😭😭💗💗💔💔']"
11,eQNHDV7lKgE,"['548K', 'JENNIE>>>>K-pop', 'Best solo', 'Karım mükemmel', 'Jennie', '548k', 'Клёвый трек!😍😍😍', '제니가 최고야 그녀의 노래는 듣기에 정말 놀랍습니다. 나는 그것을 좋아하고 그것을 듣는 것을 멈출 수 없습니다. 그녀는 춤도 잘 춘다. 나도 커서 그녀처럼 될 수 있었으면 좋겠다. ❤❤❤😊다들 그 사람을 싫어해요 왜 그 사람이 멋지고 사랑스러운지 모르겠어요 제발 미워하지 마세요 🙏🏼🙏🏼🙏🏼 사랑해요 제니 ❤❤❤❤❤', 'Wow ❤❤', '60']"
12,va6ituuGqQc,"['Love Jisoo', 'JIS00 🥶🥰', 'I love you Jiso❤❤❤❤❤❤', 'I love you jisoooo you are so cute and cool ı m from turkey bot ı love south korea ❤❤❤', 'Я тебя люблю❤', '🎉❤❤❤ l Love Jlsoo❤❤❤❤❤❤', '😅😅😅😅😅😅😅😊😊😊😊😊😊🇹🇴🔷🔷🔷🔷🔷🔷🔷🔷', 'BLACKPINK JISOO FLOWER', 'Jisoo❤🤍', '2M 🌹']"
